"NMFS_POPID","SPAWNINGYEAR","NOSAIJ","NOSAEJ","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","ext_datasource","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
101,2014,521,488,0.75,0.75,0.064,0.064,2084,1951,0,0.064,0.746,0.19,0,0,"SPS",379,400,402,426,1549,1719,1639,1828
101,2015,398,383,0.706,NA,NA,NA,1353,1302,NA,0.038,0.81,0.152,NA,NA,"CAX",368,369,391,393,1542,1535,1637,1635
101,2016,320,308,0.541,NA,NA,NA,697,672,NA,0.036,0.837,0.126,NA,NA,"CAX",365,296,389,315,1401,1153,1493,1227
101,2017,176,154,0.621,NA,NA,NA,464,406,NA,0.124,0.704,0.172,NA,NA,"CAX",348,284,373,309,1282,919,1372,999
101,2018,268,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,"CAX",357,307,369,316,1328,912,1282,858
102,1963,1874,1115,0,0,0.405,0.405,1874,1115,0,0.405,0.319,0.275,0,0,"SPS",NA,1722,NA,2138,NA,1722,NA,2138
102,1964,2771,2538,0,0,0.084,0.084,2771,2538,0,0.084,0.491,0.424,0,0,"SPS",NA,1861,NA,2252,NA,1861,NA,2252
102,1965,3523,2526,0,0,0.283,0.283,3523,2526,0,0.283,0.384,0.332,0,0,"SPS",1958,1939,2427,2438,1958,1939,2427,2438
102,1966,6718,5838,0,0,0.131,0.131,6718,5838,0,0.131,0.466,0.402,0,0,"SPS",2289,2570,2807,3273,2289,2570,2807,3273
102,1967,3978,3282,0,0,0.175,0.175,3978,3282,0,0.175,0.442,0.382,0,0,"SPS",2394,2675,2932,3450,2394,2675,2932,3450
102,1968,4663,4066,0,0,0.128,0.128,4663,4066,0,0.128,0.467,0.404,0,0,"SPS",2539,3465,3087,4140,2539,3465,3087,4140
102,1969,3761,3543,0.05,0.05,0.058,0.058,3959,3729,0,0.058,0.505,0.436,0,0,"SPS",2625,3704,3148,4401,2639,3742,3165,4446
102,1970,2814,2353,0.07,0.07,0.164,0.164,3026,2530,0,0.164,0.448,0.387,0,0,"SPS",2661,3652,3203,4208,2694,3743,3243,4313
102,1971,1589,1303,0,0,0.18,0.18,1589,1303,0,0.18,0.439,0.38,0,0,"SPS",2637,2706,3213,3154,2670,2773,3253,3233
102,1972,2783,2658,0,0,0.045,0.045,2783,2658,0,0.045,0.512,0.442,0,0,"SPS",2634,2594,3183,2936,2667,2659,3223,3010
102,1973,5804,5172,0.01,0.01,0.109,0.109,5863,5224,0,0.109,0.478,0.413,0,0,"SPS",3071,2722,3564,3068,3112,2795,3612,3151
102,1974,1989,1939,0,0,0.025,0.025,1989,1939,0,0.025,0.522,0.452,0,0,"SPS",2989,2413,3448,2701,3030,2453,3494,2746
102,1975,3765,3547,0,0,0.058,0.058,3765,3547,0,0.058,0.505,0.437,0,0,"SPS",3093,2619,3471,2863,3134,2624,3517,2868
102,1976,2377,1676,0.01,0.01,0.295,0.295,2401,1693,0,0.295,0.378,0.326,0,0,"SPS",2730,2754,3128,3103,2769,2765,3173,3115
102,1977,2833,2621,0.01,0.01,0.075,0.075,2862,2647,0,0.075,0.496,0.429,0,0,"SPS",2669,2746,3024,3114,2710,2763,3071,3133
102,1978,3734,3697,0.01,0.01,0.01,0.01,3772,3734,0,0.01,0.53,0.458,0,0,"SPS",2644,2568,2957,2851,2687,2583,3006,2868
102,1979,1042,989,0.02,0.02,0.051,0.051,1063,1009,0,0.051,0.509,0.44,0,0,"SPS",2327,2245,2601,2505,2358,2267,2636,2530
102,1980,1489,1386,0.02,0.02,0.069,0.069,1519,1414,0,0.069,0.499,0.431,0,0,"SPS",2207,1860,2441,2081,2225,1886,2460,2110
102,1981,1269,1230,0,0,0.031,0.031,1269,1230,0,0.031,0.566,0.403,0,0,"SPS",2194,1748,2386,1835,2212,1769,2406,1858
102,1982,1493,1438,0,0,0.037,0.037,1493,1438,0,0.037,0.563,0.4,0,0,"SPS",2064,1551,2242,1615,2080,1566,2260,1631
102,1983,2547,2463,0,0,0.033,0.033,2547,2463,0,0.033,0.569,0.399,0,0,"SPS",1916,1430,2065,1496,1930,1441,2080,1508
102,1984,2022,1969,0,0,0.026,0.026,2022,1969,0,0.026,0.567,0.407,0,0,"SPS",1919,1641,2068,1708,1932,1647,2083,1715
102,1985,3331,3251,0,0,0.024,0.024,3331,3251,0,0.024,0.574,0.403,0,0,"SPS",1902,1946,2043,2006,1916,1946,2058,2006
102,1986,2044,1993,0,0,0.025,0.025,2044,1993,0,0.025,0.571,0.405,0,0,"SPS",1936,2143,2013,2207,1947,2143,2025,2207
102,1987,1920,1859,0,0,0.032,0.032,1920,1859,0,0.032,0.564,0.404,0,0,"SPS",1870,2256,1936,2321,1880,2256,1946,2321
102,1988,1525,1478,0,0,0.031,0.031,1525,1478,0,0.031,0.572,0.397,0,0,"SPS",1706,2037,1770,2095,1713,2037,1777,2095
102,1989,1396,1360,0,0,0.026,0.026,1396,1360,0,0.026,0.579,0.396,0,0,"SPS",1762,1891,1823,1945,1765,1891,1826,1945
102,1990,999,973,0,0,0.026,0.026,999,973,0,0.026,0.573,0.402,0,0,"SPS",1700,1486,1751,1529,1700,1486,1751,1529
102,1991,585,527,0,0,0.099,0.099,585,527,0,0.099,0.593,0.308,0,0,"SPS",1562,1139,1621,1190,1562,1139,1621,1190
102,1992,1100,1078,0,0,0.02,0.02,1100,1078,0,0.02,0.57,0.4,0,0,"SPS",1518,1021,1572,1065,1518,1021,1572,1065
102,1993,715,715,0.4,0.4,0,0,1192,1192,0,0,0.38,0.62,0,0,"SPS",1341,883,1384,915,1412,978,1457,1014
102,1994,202,202,0.28,0.28,0,0,280,280,0,0,0.25,0.75,0,0,"SPS",1068,603,1100,622,1161,713,1196,735
102,1995,21,21,0.63,0.63,0,0,58,58,0,0,1,0,0,0,"SPS",645,280,663,287,776,406,797,416
102,1996,136,97,0.25,0.25,0.29,0.29,182,129,0,0.29,0.65,0.06,0,0,"SPS",477,200,505,214,591,306,626,329
102,1997,283,283,0.51,0.51,0,0,578,578,0,0,0.87,0.13,0,0,"SPS",395,153,417,163,525,270,555,290
102,1998,245,245,0.24,0.24,0,0,323,323,0,0,0.05,0.95,0,0,"SPS",330,123,347,132,451,208,475,223
102,1999,121,115,0.09,0.09,0.05,0.05,133,126,0,0.05,0.65,0.3,0,0,"SPS",258,110,272,119,356,177,376,192
102,2000,800,768,0.36,0.36,0.04,0.04,1250,1200,0,0.04,0.95,0.01,0,0,"SPS",252,226,266,247,363,325,384,355
102,2001,1297,1297,0.67,0.67,0,0,3930,3930,0,0,0.92,0.07,0,0,"SPS",276,380,288,387,444,644,465,657
102,2002,718,718,0.55,0.55,0,0,1595,1595,0,0,0.66,0.35,0,0,"SPS",265,458,276,466,462,789,483,804
102,2003,626,582,0.36,0.36,0.07,0.07,978,910,0,0.07,0.04,0.9,0,0,"SPS",259,545,272,563,450,971,473,1004
102,2004,1011,981,0.37,0.37,0.03,0.03,1605,1557,0,0.03,0.96,0.01,0,0,"SPS",304,836,320,860,534,1605,563,1652
102,2005,324,321,0.78,0.78,0.01,0.01,1473,1458,0,0.01,0.76,0.23,0,0,"SPS",399,702,421,718,737,1669,779,1707
102,2006,319,316,0.66,0.66,0.01,0.01,939,930,0,0.01,0.62,0.37,0,0,"SPS",449,529,458,542,898,1251,917,1282
102,2007,381,362,0.81,0.81,0.049,0.049,2005,1907,0,0.049,0.311,0.64,0,0,"SPS",460,462,472,478,1012,1297,1039,1342
102,2008,364,353,0.83,0.83,0.03,0.03,2139,2075,0,0.03,0.86,0.11,0,0,"SPS",477,418,491,429,1218,1529,1255,1569
102,2009,593,563,0.73,0.73,0.05,0.05,2195,2085,0,0.05,0.9,0.05,0,0,"SPS",559,374,576,385,1613,1621,1661,1671
102,2010,528,522,0.7,0.7,0.01,0.01,1759,1741,0,0.01,0.92,0.07,0,0,"SPS",538,412,552,425,1674,1679,1719,1731
102,2011,1122,1043,0.61,0.61,0.07,0.07,2876,2675,0,0.07,0.482,0.448,0,0,"SPS",526,523,544,546,1611,2075,1666,2166
102,2012,929,920,0.63,0.63,0.01,0.01,2511,2486,0,0.01,0.83,0.17,0,0,"SPS",539,630,559,653,1684,2188,1744,2265
102,2013,691,657,0.66,0.66,0.05,0.05,2033,1931,0,0.05,0.65,0.3,0,0,"SPS",546,714,564,742,1816,2156,1876,2242
102,2014,878,843,0.43,NA,NA,NA,2219,2130,NA,0.04,0.89,0.07,NA,NA,"CAX",538,774,556,803,1873,2165,1938,2247
102,2015,745,738,0.59,NA,NA,NA,1605,1589,NA,0.01,0.83,0.16,NA,NA,"CAX",585,829,605,860,1890,2126,1954,2206
102,2016,690,662,0.36,NA,NA,NA,985,946,NA,0.04,0.67,0.29,NA,NA,"CAX",629,757,653,781,1893,1727,1964,1781
102,2017,347,121,0.57,NA,NA,NA,799,783,NA,0.02,0.65,0.33,NA,NA,"CAX",564,505,647,641,1732,1371,1791,1416
104,1977,NA,173,NA,0.674,NA,NA,NA,531,NA,NA,0.6,0.39,0.01,NA,"CAX",NA,166,NA,NA,NA,511,NA,NA
104,1978,NA,166,NA,0.674,NA,NA,NA,508,NA,NA,0.6,0.39,0.01,NA,"CAX",NA,166,NA,NA,NA,510,NA,NA
104,1979,NA,235,NA,0.674,NA,NA,NA,722,NA,NA,0.6,0.39,0.01,NA,"CAX",176,176,NA,NA,541,539,NA,NA
104,1980,NA,844,NA,0.674,NA,NA,NA,2589,NA,NA,0.6,0.39,0.01,NA,"CAX",220,250,NA,NA,676,767,NA,NA
104,1981,NA,1187,NA,0.674,NA,NA,NA,3642,NA,NA,0.6,0.39,0.01,NA,"CAX",272,368,NA,NA,835,1129,NA,NA
104,1982,NA,1157,NA,0.674,NA,NA,NA,3550,NA,NA,0.6,0.39,0.01,NA,"CAX",319,538,NA,NA,980,1651,NA,NA
