"NMFS_POPID","SPAWNINGYEAR","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
10,2005,71,85,75,91,292,605,375,791
10,2006,79,125,84,133,365,688,470,802
10,2007,85,145,90,154,376,573,513,747
10,2008,83,131,88,137,471,676,662,941
10,2009,93,114,101,124,591,884,861,1203
10,2010,99,116,107,126,718,852,979,1213
10,2011,109,92,118,101,727,780,960,1202
10,2012,90,49,98,56,672,NA,915,NA
10,2013,77,39,84,45,713,NA,1006,NA
10,2014,61,28,69,33,833,NA,1140,NA
10,2015,59,25,67,30,NA,NA,NA,NA
10,2016,59,41,66,47,NA,NA,NA,NA
10,2017,45,43,52,50,NA,NA,NA,NA
11,1967,NA,NA,NA,NA,NA,3892,NA,NA
11,1968,NA,NA,NA,NA,NA,3645,NA,NA
11,1969,NA,NA,NA,NA,3349,3130,NA,NA
11,1970,NA,NA,NA,NA,3254,2722,NA,NA
11,1971,NA,NA,NA,NA,3235,2802,NA,NA
11,1972,NA,NA,NA,NA,3233,2787,NA,NA
11,1973,NA,NA,NA,NA,3451,3266,NA,NA
11,1974,NA,NA,NA,NA,3804,4623,NA,NA
11,1975,NA,NA,NA,NA,4276,6720,NA,NA
11,1976,NA,NA,NA,NA,4740,8021,NA,NA
11,1977,NA,NA,NA,NA,5071,9225,NA,NA
11,1978,NA,NA,NA,NA,5204,8292,NA,NA
11,1979,NA,NA,NA,NA,5315,6110,NA,NA
11,1980,NA,NA,NA,NA,5716,4863,NA,NA
11,1981,NA,NA,NA,NA,5426,3670,NA,NA
11,1982,NA,NA,NA,NA,5619,3422,NA,NA
11,1983,NA,NA,NA,NA,5167,3220,NA,NA
11,1984,NA,NA,NA,NA,4475,3277,NA,NA
11,1985,NA,NA,NA,NA,3374,2341,NA,NA
11,1986,NA,NA,NA,NA,2988,2432,NA,NA
11,1987,NA,NA,NA,NA,3108,2823,NA,NA
11,1988,NA,NA,NA,NA,3758,4386,NA,NA
11,1989,NA,NA,NA,NA,4600,6456,NA,NA
11,1990,NA,NA,NA,NA,4155,7376,NA,NA
11,1991,NA,NA,NA,NA,4600,8701,NA,NA
11,1992,NA,NA,NA,NA,4491,7143,NA,NA
11,1993,NA,NA,NA,NA,4348,4310,NA,NA
11,1994,NA,NA,NA,NA,4186,2714,NA,NA
11,1995,NA,NA,NA,NA,4653,2936,NA,NA
11,1996,NA,NA,NA,NA,5441,3402,NA,NA
11,1997,NA,NA,NA,NA,4922,3392,NA,NA
11,1998,NA,NA,NA,NA,4142,3980,NA,NA
11,1999,NA,NA,NA,NA,3373,4192,NA,NA
11,2000,NA,NA,NA,NA,3250,3599,NA,NA
11,2001,NA,NA,NA,NA,3141,2900,NA,NA
11,2002,NA,NA,NA,NA,3707,4051,NA,NA
11,2003,NA,NA,NA,NA,4780,5742,NA,NA
11,2004,NA,NA,NA,NA,5382,6911,NA,NA
11,2005,NA,NA,NA,NA,6010,10036,NA,NA
11,2006,NA,NA,NA,NA,5996,12395,NA,NA
11,2007,NA,NA,NA,NA,5953,8749,NA,NA
11,2008,NA,NA,NA,NA,5867,5996,NA,NA
11,2009,NA,NA,NA,NA,6523,6156,NA,NA
11,2010,NA,NA,NA,NA,7443,5520,NA,NA
11,2011,NA,NA,NA,NA,8017,5185,NA,NA
11,2012,NA,NA,NA,NA,7310,6108,NA,NA
11,2013,NA,494,NA,NA,6569,7198,NA,NA
11,2014,NA,539,NA,NA,6808,7529,NA,NA
11,2015,713,739,NA,NA,6570,7820,NA,NA
11,2016,854,1056,NA,NA,6005,6955,NA,NA
11,2017,933,1511,NA,NA,5957,5810,NA,NA
12,1983,NA,NA,NA,NA,NA,876,NA,NA
12,1984,NA,NA,NA,NA,NA,601,NA,NA
12,1985,NA,NA,NA,NA,NA,716,NA,NA
12,1986,NA,NA,NA,NA,484,495,NA,NA
12,1987,NA,NA,NA,NA,482,320,NA,NA
12,1988,NA,NA,NA,NA,481,265,NA,NA
12,1989,NA,NA,NA,NA,491,381,NA,NA
12,1990,NA,NA,NA,NA,386,235,NA,NA
12,1991,NA,NA,NA,NA,273,169,NA,NA
12,1992,NA,NA,NA,NA,200,138,NA,NA
12,1993,NA,NA,NA,NA,178,129,NA,NA
12,1994,NA,NA,NA,NA,201,121,NA,NA
12,1995,NA,NA,NA,NA,214,196,NA,NA
12,1996,NA,NA,NA,NA,224,296,NA,NA
12,1997,NA,NA,NA,NA,175,221,NA,NA
12,1998,NA,NA,NA,NA,137,145,NA,NA
12,1999,NA,NA,NA,NA,124,127,NA,NA
12,2000,NA,NA,NA,NA,124,78,NA,NA
12,2001,NA,NA,NA,NA,165,92,NA,NA
12,2002,NA,NA,NA,NA,194,171,NA,NA
12,2003,NA,NA,NA,NA,210,305,NA,NA
12,2004,NA,NA,NA,NA,207,337,NA,NA
12,2005,NA,NA,NA,NA,207,549,NA,NA
12,2006,NA,NA,NA,NA,210,483,NA,NA
12,2007,NA,NA,NA,NA,314,576,NA,NA
12,2008,NA,NA,NA,NA,389,497,NA,NA
12,2009,NA,NA,NA,NA,315,295,NA,NA
12,2010,NA,NA,NA,NA,405,277,NA,NA
12,2011,NA,NA,NA,NA,288,151,NA,NA
12,2012,NA,NA,NA,NA,190,48,NA,NA
12,2013,NA,NA,NA,NA,159,39,NA,NA
12,2014,NA,NA,NA,NA,144,58,NA,NA
12,2016,NA,NA,NA,NA,113,NA,NA,NA
13,1967,NA,NA,NA,NA,NA,11083,NA,NA
13,1968,NA,NA,NA,NA,NA,10156,NA,NA
13,1969,NA,NA,NA,NA,9020,7960,NA,NA
13,1970,NA,NA,NA,NA,8068,6987,NA,NA
13,1971,NA,NA,NA,NA,9033,7781,NA,NA
13,1972,NA,NA,NA,NA,9781,8851,NA,NA
13,1973,NA,NA,NA,NA,9713,9290,NA,NA
13,1974,NA,NA,NA,NA,8963,10093,NA,NA
13,1975,NA,NA,NA,NA,9478,12858,NA,NA
13,1976,NA,NA,NA,NA,8374,9013,NA,NA
13,1977,NA,NA,NA,NA,8097,7407,NA,NA
13,1978,NA,NA,NA,NA,7866,6660,NA,NA
13,1979,NA,NA,NA,NA,8249,6742,NA,NA
13,1980,NA,NA,NA,NA,9310,6740,NA,NA
13,1981,NA,NA,NA,NA,9280,9555,NA,NA
13,1982,NA,NA,NA,NA,8573,9922,NA,NA
13,1983,NA,NA,NA,NA,8918,11941,NA,NA
13,1984,NA,NA,NA,NA,8868,11664,NA,NA
13,1985,NA,NA,NA,NA,8339,10316,NA,NA
13,1986,NA,NA,NA,NA,9339,9129,NA,NA
13,1987,NA,NA,NA,NA,9884,9845,NA,NA
13,1988,NA,NA,NA,NA,10636,9473,NA,NA
13,1989,NA,NA,NA,NA,11656,11649,NA,NA
13,1990,NA,NA,NA,NA,11780,13451,NA,NA
13,1991,NA,NA,NA,NA,10889,12987,NA,NA
13,1992,NA,NA,NA,NA,10442,11076,NA,NA
