"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
"170701050404","Mill Creek",1707010504,"Mill Creek-Columbia River",17070105,"Middle Columbia-Hood",45.56483,-121.2463
"170701050405","Chenoweth Creek",1707010504,"Mill Creek-Columbia River",17070105,"Middle Columbia-Hood",45.59985,-121.2955
"170701050406","Murdock-Columbia River",1707010504,"Mill Creek-Columbia River",17070105,"Middle Columbia-Hood",45.64345,-121.203
"170701050501","Upper East Fork Hood River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.34553,-121.6005
"170701050502","Middle East Fork Hood River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.40287,-121.6099
"170701050503","Dog River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.41082,-121.5338
"170701050504","Upper Middle Fork Hood River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.42811,-121.6797
"170701050505","Lower Middle Fork Hood River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.50669,-121.6644
"170701050506","Lower East Fork Hood River",1707010505,"East Fork Hood River",17070105,"Middle Columbia-Hood",45.51884,-121.5825
"170701050601","Upper West Fork Hood River",1707010506,"West Fork Hood River",17070105,"Middle Columbia-Hood",45.46512,-121.7551
"170701050602","Lake Branch",1707010506,"West Fork Hood River",17070105,"Middle Columbia-Hood",45.53103,-121.7934
"170701050603","Lower West Fork Hood River",1707010506,"West Fork Hood River",17070105,"Middle Columbia-Hood",45.59584,-121.7072
"170701050701","Neal Creek",1707010507,"Hood River",17070105,"Middle Columbia-Hood",45.58036,-121.5027
"170701050702","Odell Creek-Hood River",1707010507,"Hood River",17070105,"Middle Columbia-Hood",45.6266,-121.5967
"170701050703","Indian Creek-Hood River",1707010507,"Hood River",17070105,"Middle Columbia-Hood",45.67596,-121.5319
"170701050801","Headwaters White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",46.15924,-121.5797
"170701050802","Morrison Creek-White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",46.10966,-121.557
"170701050803","Gotchen Creek-White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",46.07099,-121.482
"170701050804","Upper Trout Lake Creek",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",46.08545,-121.7134
"170701050805","Lower Trout Lake Creek",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",46.01983,-121.6166
"170701050807","Elmer Canyon-White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",45.95585,-121.4914
"170701050808","Gilmer Creek-White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",45.86899,-121.4945
"170701050809","Rattlesnake Creek",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",45.86105,-121.3545
"170701050810","Buck Creek",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",45.83083,-121.5694
"170701050811","North Weston Lake-White Salmon River",1707010508,"White Salmon River",17070105,"Middle Columbia-Hood",45.77709,-121.5399
"170701050902","Lava Creek",1707010509,"Little White Salmon River",17070105,"Middle Columbia-Hood",45.87831,-121.7372
"170701050903","Upper Little White Salmon River",1707010509,"Little White Salmon River",17070105,"Middle Columbia-Hood",45.89012,-121.6265
"170701050904","Middle Little White Salmon River",1707010509,"Little White Salmon River",17070105,"Middle Columbia-Hood",45.83557,-121.6592
"170701050905","Lower Little White Salmon River",1707010509,"Little White Salmon River",17070105,"Middle Columbia-Hood",45.75726,-121.6431
"170701051001","Headwaters Wind River",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.96775,-121.9189
"170701051002","Falls Creek",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.93265,-121.8598
"170701051003","Dry Creek",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.93453,-121.9948
"170701051004","Trapper Creek-Wind River",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.86988,-121.9662
"170701051005","Trout Creek",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.82766,-122.0171
"170701051006","Panther Creek",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.84818,-121.8411
"170701051007","Bear Creek",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.79738,-121.7822
"170701051008","Little Wind River-Wind River",1707010510,"Wind River",17070105,"Middle Columbia-Hood",45.75906,-121.8118
"170701051101","Major Creek",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.77846,-121.3717
"170701051102","Upper Mosier Creek",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.55183,-121.4336
"170701051103","Lower Mosier Creek",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.62089,-121.386
"170701051104","Rock Creek",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.64624,-121.4447
"170701051105","Rowena Creek-Columbia River",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.71005,-121.3979
"170701051106","Grays Creek-Columbia River",1707010511,"Mosier Creek-Columbia River",17070105,"Middle Columbia-Hood",45.69743,-121.6731
"170701051201","Herman Creek",1707010512,"Eagle Creek-Columbia River",17070105,"Middle Columbia-Hood",45.63635,-121.8108
"170701051202","Rock Creek",1707010512,"Eagle Creek-Columbia River",17070105,"Middle Columbia-Hood",45.75075,-121.978
"170701051203","Eagle Creek",1707010512,"Eagle Creek-Columbia River",17070105,"Middle Columbia-Hood",45.57821,-121.8697
"170701051204","Carson Creek-Columbia River",1707010512,"Eagle Creek-Columbia River",17070105,"Middle Columbia-Hood",45.68777,-121.8733
"170701060101","Headwaters Klickitat River",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.42658,-121.3141
"170701060102","Diamond Fork",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.45075,-121.1917
"170701060103","McCreedy Creek",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.36394,-121.2736
"170701060104","Swamp Creek-Klickitat River",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.3196,-121.2119
"170701060105","Little Muddy Creek",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.26791,-121.4118
"170701060106","West Fork Klickitat River",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.34207,-121.3947
"170701060107","Big Muddy Creek",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.17067,-121.3884
"170701060108","Cunningham Creek-Klickitat River",1707010601,"Upper Klickitat River",17070106,"Klickitat",46.21201,-121.2689
"170701060201","Trout Creek",1707010602,"Middle Klickitat River",17070106,"Klickitat",46.13556,-121.1946
"170701060202","Chapman Creek",1707010602,"Middle Klickitat River",17070106,"Klickitat",45.93694,-121.403
"170701060204","Fraiser Creek",1707010602,"Middle Klickitat River",17070106,"Klickitat",46.08371,-121.3784
"170701060205","Outlet Creek",1707010602,"Middle Klickitat River",17070106,"Klickitat",45.98797,-121.2815
"170701060206","Tepee Creek",1707010602,"Middle Klickitat River",17070106,"Klickitat",46.17725,-121.0134
