"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
95,"1171685460217","Steelhead","Summer","Migration only","1706010607","170601060711",83,1
95,"1171685460217","Steelhead","Summer","Migration only","1706010607","170601060710",83,11
96,"1172521460418","Steelhead","Summer","Rearing and migration","1706010607","170601060708",83,1
96,"1201071487819","Chinook","Spring","Rearing and migration","1702000803","170200080304",46,1
96,"1201071487819","Chinook","Spring","Rearing and migration","1702000803","170200080306",46,1
97,"1172508464037","Steelhead","Summer","Migration only","1706010701","170601070103",90,10
97,"1172508464037","Steelhead","Summer","Migration only","1706010701","170601070105",90,1
97,"1201847485474","Chinook","Spring","Rearing and migration","1702000804","170200080407",46,1
97,"1201847485474","Chinook","Spring","Rearing and migration","1702000804","170200080408",46,1
98,"1169845460718","Steelhead","Summer","Migration only","1706010607","170601060711",83,2
99,"1170845457948","Steelhead","Summer","Migration only","1706010604","170601060407",85,1
100,"1171093462854","Steelhead","Summer","Migration only","1706010302","170601030207",90,5
101,"1170649457215","Steelhead","Summer","Migration only","1706010604","170601060404",85,16
101,"1170649457215","Steelhead","Summer","Migration only","1706010604","170601060406",85,11
102,"1169845460718","Steelhead","Summer","Migration only","1706010601","170601060106",83,14
102,"1169845460718","Steelhead","Summer","Migration only","1706010602","170601060210",83,37
102,"1169845460718","Steelhead","Summer","Migration only","1706010607","170601060703",83,41
102,"1202169476606","Chinook","Spring","Spawning and rearing","1702001002","170200100209",45,18
103,"1170411460062","Steelhead","Summer","Migration only","1706010606","170601060606",85,4
104,"1171999464202","Steelhead","Summer","Spawning and rearing","1706010701","170601070101",90,30
105,"1174662467031","Steelhead","Summer","Migration only","1706010708","170601070801",91,5
105,"1201177483686","Chinook","Spring","Spawning and rearing","1702000805","170200080501",46,5
105,"1201177483686","Chinook","Spring","Spawning and rearing","1702000805","170200080503",46,32
105,"1201177483686","Chinook","Spring","Spawning and rearing","1702000805","170200080507",46,40
105,"1201177483686","Chinook","Spring","Spawning and rearing","1702000805","170200080509",46,65
106,"1178502462312","Steelhead","Summer","Spawning and rearing","1707010203","170701020302",69,13
106,"1201819484759","Chinook","Spring","Spawning and rearing","1702000803","170200080303",46,21
106,"1201819484759","Chinook","Spring","Spawning and rearing","1702000803","170200080306",46,40
106,"1201819484759","Chinook","Spring","Spawning and rearing","1702000804","170200080403",46,61
106,"1201819484759","Chinook","Spring","Spawning and rearing","1702000804","170200080408",46,57
106,"1201819484759","Chinook","Spring","Spawning and rearing","1702000806","170200080605",46,1
107,"1174422459325","Steelhead","Summer","Migration only","1706010602","170601060209",83,30
107,"1174422459325","Steelhead","Summer","Migration only","1706010602","170601060210",83,1
107,"1174422459325","Steelhead","Summer","Migration only","1706010602","170601060208",83,17
107,"1204321477711","Chinook","Spring","Migration only","1702001001","170200100103",45,3
108,"1180000458588","Steelhead","Summer","Migration only","1707010201","170701020101",71,4
108,"1201243486982","Chinook","Spring","Rearing and migration","1702000804","170200080401",46,2
108,"1201243486982","Chinook","Spring","Rearing and migration","1702000804","170200080403",46,1
109,"1173643460072","Steelhead","Summer","Spawning and rearing","1706010607","170601060704",83,7
109,"1202169476606","Chinook","Spring","Spawning and rearing","1702001002","170200100209",45,1
110,"1174691466997","Steelhead","Summer","Rearing and migration","1706010708","170601070801",91,1
111,"1174691466997","Steelhead","Summer","Migration only","1706010708","170601070801",91,6
111,"1204166474896","Chinook","Spring","Rearing and migration","1702001107","170200110708",47,3
112,"1178236461906","Steelhead","Summer","Rearing and migration","1707010203","170701020302",69,1
112,"1178236461906","Steelhead","Summer","Rearing and migration","1707010203","170701020301",69,12
112,"1201623486035","Chinook","Spring","Rearing and migration","1702000804","170200080404",46,4
